[2022-02-07 06:53:02,632] INFO       Loading Config Data
[2022-02-07 06:55:31,375] DEBUG      Waiting for templates: ['MAIN_MENU_TOP_LEFT', 'MAIN_MENU_TOP_LEFT_DARK', 'A5_TOWN_0', 'A5_TOWN_1', 'A4_TOWN_4', 'A4_TOWN_5', 'A3_TOWN_0', 'A3_TOWN_1', 'A2_TOWN_0', 'A2_TOWN_1', 'A2_TOWN_10', 'A1_TOWN_1', 'A1_TOWN_3']
[2022-02-07 06:55:32,361] DEBUG      Found Match: MAIN_MENU_TOP_LEFT (100.0% confidence)
[2022-02-07 06:55:32,362] DEBUG      Waiting for templates: ['MAIN_MENU_TOP_LEFT', 'MAIN_MENU_TOP_LEFT_DARK']
[2022-02-07 06:55:32,381] DEBUG      Found Match: MAIN_MENU_TOP_LEFT (100.0% confidence)
[2022-02-07 06:55:32,382] DEBUG      Wait for Play button
[2022-02-07 06:55:32,399] DEBUG      Found Play Btn
[2022-02-07 06:55:32,906] DEBUG      Waiting for templates: ['LOADING', 'HELL_BTN']
[2022-02-07 06:55:32,974] DEBUG      Found Match: HELL_BTN (100.0% confidence)
[2022-02-07 06:55:35,472] DEBUG      Waiting for templates: ['A5_TOWN_0', 'A5_TOWN_1', 'A4_TOWN_4', 'A4_TOWN_5', 'A3_TOWN_0', 'A3_TOWN_1', 'A2_TOWN_0', 'A2_TOWN_1', 'A2_TOWN_10', 'A1_TOWN_1', 'A1_TOWN_3']
[2022-02-07 06:55:41,486] DEBUG      Found Match: A3_TOWN_1 (80.6% confidence)
[2022-02-07 06:55:41,486] INFO       Capabilities: CharacterCapabilities(can_teleport_natively=False, can_teleport_with_charges=False)
[2022-02-07 06:55:41,766] INFO       Health Manager is now pausing
[2022-02-07 06:55:42,249] DEBUG      Will pickup: {'rejuv': 0, 'health': 4, 'mana': 1}
[2022-02-07 06:55:42,273] INFO       Buy pots at next possible Vendor
[2022-02-07 06:55:42,274] DEBUG      Traverse from a3_town_start to a3_ormus
[2022-02-07 06:55:54,349] DEBUG      Waiting for templates: ['SUPER_HEALING_POTION']
[2022-02-07 06:55:54,378] DEBUG      Found Match: SUPER_HEALING_POTION (99.4% confidence)
[2022-02-07 06:55:58,918] DEBUG      Waiting for templates: ['SUPER_MANA_POTION']
[2022-02-07 06:55:58,949] DEBUG      Found Match: SUPER_MANA_POTION (99.4% confidence)
[2022-02-07 06:56:01,774] DEBUG      Will pickup: {'rejuv': 0, 'health': 0, 'mana': 0}
[2022-02-07 06:56:01,808] INFO       Run Trav
[2022-02-07 06:56:01,809] DEBUG      Traverse from a3_ormus to a3_stash_wp
[2022-02-07 06:56:05,542] DEBUG      Select A3_WP (93.3% confidence)
[2022-02-07 06:56:10,732] DEBUG      Waiting for templates: ['TRAV_0', 'TRAV_1', 'TRAV_20']
[2022-02-07 06:56:10,818] DEBUG      Found Match: TRAV_0 (99.9% confidence)
[2022-02-07 06:56:11,156] INFO       Health Manager is now active
[2022-02-07 06:56:13,543] DEBUG      Traverse from a3_trav_start to a3_trav_center_stairs
[2022-02-07 06:56:21,750] DEBUG      Traverse: [228, 229]
[2022-02-07 06:56:34,820] DEBUG      Drink mana potion in slot 3. HP: 80.9%, Mana: 48.5%
[2022-02-07 06:56:35,721] DEBUG      Drink health potion in slot 1. HP: 77.1%, Mana: 80.1%
[2022-02-07 06:56:44,787] DEBUG      Took a screenshot of current loot
[2022-02-07 06:56:47,388] DEBUG      Traverse: [230]
[2022-02-07 06:56:48,913] DEBUG      Waiting for templates: ['SAVE_AND_EXIT_NO_HIGHLIGHT', 'SAVE_AND_EXIT_HIGHLIGHT']
[2022-02-07 06:56:48,935] DEBUG      Found Match: SAVE_AND_EXIT_NO_HIGHLIGHT (93.1% confidence)
[2022-02-07 06:56:51,532] DEBUG      Waiting for templates: ['SAVE_AND_EXIT_NO_HIGHLIGHT', 'SAVE_AND_EXIT_HIGHLIGHT']
[2022-02-07 06:56:54,927] INFO       End game. Elapsed time: 83.55s
[2022-02-07 06:56:55,189] INFO       Starting game #3
[2022-02-07 06:56:55,189] DEBUG      Waiting for templates: ['MAIN_MENU_TOP_LEFT', 'MAIN_MENU_TOP_LEFT_DARK', 'A5_TOWN_0', 'A5_TOWN_1', 'A4_TOWN_4', 'A4_TOWN_5', 'A3_TOWN_0', 'A3_TOWN_1', 'A2_TOWN_0', 'A2_TOWN_1', 'A2_TOWN_10', 'A1_TOWN_1', 'A1_TOWN_3']
[2022-02-07 06:56:56,178] DEBUG      Found Match: MAIN_MENU_TOP_LEFT (100.0% confidence)
[2022-02-07 06:56:56,178] DEBUG      Waiting for templates: ['MAIN_MENU_TOP_LEFT', 'MAIN_MENU_TOP_LEFT_DARK']
[2022-02-07 06:56:56,191] DEBUG      Found Match: MAIN_MENU_TOP_LEFT (100.0% confidence)
[2022-02-07 06:56:56,192] DEBUG      Wait for Play button
[2022-02-07 06:56:56,225] DEBUG      Found Play Btn
[2022-02-07 06:56:56,699] DEBUG      Waiting for templates: ['LOADING', 'HELL_BTN']
[2022-02-07 06:56:56,765] DEBUG      Found Match: HELL_BTN (100.0% confidence)
[2022-02-07 06:56:59,361] DEBUG      Waiting for templates: ['A5_TOWN_0', 'A5_TOWN_1', 'A4_TOWN_4', 'A4_TOWN_5', 'A3_TOWN_0', 'A3_TOWN_1', 'A2_TOWN_0', 'A2_TOWN_1', 'A2_TOWN_10', 'A1_TOWN_1', 'A1_TOWN_3']
[2022-02-07 06:57:07,789] DEBUG      Found Match: A3_TOWN_1 (80.2% confidence)
[2022-02-07 06:57:07,789] INFO       Capabilities: CharacterCapabilities(can_teleport_natively=False, can_teleport_with_charges=False)
[2022-02-07 06:57:07,937] INFO       Health Manager is now pausing
[2022-02-07 06:57:08,549] DEBUG      Will pickup: {'rejuv': 0, 'health': 1, 'mana': 0}
[2022-02-07 06:57:08,602] INFO       Run Trav
[2022-02-07 06:57:08,602] DEBUG      Traverse from a3_town_start to a3_stash_wp
[2022-02-07 06:57:16,255] DEBUG      Select A3_WP (89.6% confidence)
[2022-02-07 06:57:21,380] DEBUG      Waiting for templates: ['TRAV_0', 'TRAV_1', 'TRAV_20']
[2022-02-07 06:57:21,464] DEBUG      Found Match: TRAV_0 (99.9% confidence)
[2022-02-07 06:57:21,628] INFO       Health Manager is now active
[2022-02-07 06:57:24,281] DEBUG      Traverse from a3_trav_start to a3_trav_center_stairs
[2022-02-07 06:57:32,182] DEBUG      Traverse: [228, 229]
[2022-02-07 06:57:45,518] DEBUG      Drink mana potion in slot 3. HP: 90.0%, Mana: 45.5%
[2022-02-07 06:57:55,642] DEBUG      Took a screenshot of current loot
[2022-02-07 06:57:58,317] DEBUG      Traverse: [230]
[2022-02-07 06:57:59,433] DEBUG      Waiting for templates: ['SAVE_AND_EXIT_NO_HIGHLIGHT', 'SAVE_AND_EXIT_HIGHLIGHT']
[2022-02-07 06:57:59,449] DEBUG      Found Match: SAVE_AND_EXIT_NO_HIGHLIGHT (93.1% confidence)
[2022-02-07 06:58:02,196] DEBUG      Waiting for templates: ['SAVE_AND_EXIT_NO_HIGHLIGHT', 'SAVE_AND_EXIT_HIGHLIGHT']
[2022-02-07 06:58:04,809] INFO       End game. Elapsed time: 69.62s
[2022-02-07 06:58:05,128] INFO       Starting game #4
[2022-02-07 06:58:05,129] DEBUG      Waiting for templates: ['MAIN_MENU_TOP_LEFT', 'MAIN_MENU_TOP_LEFT_DARK', 'A5_TOWN_0', 'A5_TOWN_1', 'A4_TOWN_4', 'A4_TOWN_5', 'A3_TOWN_0', 'A3_TOWN_1', 'A2_TOWN_0', 'A2_TOWN_1', 'A2_TOWN_10', 'A1_TOWN_1', 'A1_TOWN_3']
[2022-02-07 06:58:06,133] DEBUG      Found Match: MAIN_MENU_TOP_LEFT (100.0% confidence)
[2022-02-07 06:58:06,133] DEBUG      Waiting for templates: ['MAIN_MENU_TOP_LEFT', 'MAIN_MENU_TOP_LEFT_DARK']
[2022-02-07 06:58:06,154] DEBUG      Found Match: MAIN_MENU_TOP_LEFT (100.0% confidence)
[2022-02-07 06:58:06,155] DEBUG      Wait for Play button
[2022-02-07 06:58:06,172] DEBUG      Found Play Btn
[2022-02-07 06:58:06,678] DEBUG      Waiting for templates: ['LOADING', 'HELL_BTN']
[2022-02-07 06:58:06,761] DEBUG      Found Match: HELL_BTN (100.0% confidence)
[2022-02-07 06:58:09,257] DEBUG      Waiting for templates: ['A5_TOWN_0', 'A5_TOWN_1', 'A4_TOWN_4', 'A4_TOWN_5', 'A3_TOWN_0', 'A3_TOWN_1', 'A2_TOWN_0', 'A2_TOWN_1', 'A2_TOWN_10', 'A1_TOWN_1', 'A1_TOWN_3']
[2022-02-07 06:58:15,378] DEBUG      Found Match: A3_TOWN_1 (80.3% confidence)
[2022-02-07 06:58:15,379] INFO       Capabilities: CharacterCapabilities(can_teleport_natively=False, can_teleport_with_charges=False)
[2022-02-07 06:58:15,394] INFO       Health Manager is now pausing
[2022-02-07 06:58:16,132] DEBUG      Will pickup: {'rejuv': 0, 'health': 1, 'mana': 0}
[2022-02-07 06:58:16,180] INFO       Run Trav
[2022-02-07 06:58:16,180] DEBUG      Traverse from a3_town_start to a3_stash_wp
[2022-02-07 06:58:23,903] DEBUG      Select A3_WP (92.0% confidence)
[2022-02-07 06:58:28,809] DEBUG      Waiting for templates: ['TRAV_0', 'TRAV_1', 'TRAV_20']
[2022-02-07 06:58:28,893] DEBUG      Found Match: TRAV_0 (99.9% confidence)
[2022-02-07 06:58:29,050] INFO       Health Manager is now active
[2022-02-07 06:58:31,680] DEBUG      Traverse from a3_trav_start to a3_trav_center_stairs
[2022-02-07 06:58:40,071] DEBUG      Traverse: [228, 229]
[2022-02-07 06:58:47,306] DEBUG      Drink mana potion in slot 3. HP: 90.8%, Mana: 0.0%
[2022-02-07 06:58:50,726] DEBUG      Drink health potion in slot 1. HP: 76.1%, Mana: 19.9%
[2022-02-07 06:58:51,377] DEBUG      Drink mana potion in slot 3. HP: 77.5%, Mana: 17.5%
[2022-02-07 06:59:03,395] DEBUG      Took a screenshot of current loot
[2022-02-07 06:59:08,437] DEBUG      Traverse: [230]
[2022-02-07 06:59:09,022] DEBUG      Waiting for templates: ['SAVE_AND_EXIT_NO_HIGHLIGHT', 'SAVE_AND_EXIT_HIGHLIGHT']
[2022-02-07 06:59:09,046] DEBUG      Found Match: SAVE_AND_EXIT_NO_HIGHLIGHT (100.0% confidence)
[2022-02-07 06:59:11,439] DEBUG      Waiting for templates: ['SAVE_AND_EXIT_NO_HIGHLIGHT', 'SAVE_AND_EXIT_HIGHLIGHT']
[2022-02-07 06:59:15,089] INFO       End game. Elapsed time: 69.96s
[2022-02-07 06:59:15,342] INFO       Starting game #5
[2022-02-07 06:59:15,343] DEBUG      Waiting for templates: ['MAIN_MENU_TOP_LEFT', 'MAIN_MENU_TOP_LEFT_DARK', 'A5_TOWN_0', 'A5_TOWN_1', 'A4_TOWN_4', 'A4_TOWN_5', 'A3_TOWN_0', 'A3_TOWN_1', 'A2_TOWN_0', 'A2_TOWN_1', 'A2_TOWN_10', 'A1_TOWN_1', 'A1_TOWN_3']
[2022-02-07 06:59:16,337] DEBUG      Found Match: MAIN_MENU_TOP_LEFT (100.0% confidence)
[2022-02-07 06:59:16,338] DEBUG      Waiting for templates: ['MAIN_MENU_TOP_LEFT', 'MAIN_MENU_TOP_LEFT_DARK']
[2022-02-07 06:59:16,350] DEBUG      Found Match: MAIN_MENU_TOP_LEFT (100.0% confidence)
[2022-02-07 06:59:16,351] DEBUG      Wait for Play button
[2022-02-07 06:59:16,368] DEBUG      Found Play Btn
[2022-02-07 06:59:16,843] DEBUG      Waiting for templates: ['LOADING', 'HELL_BTN']
[2022-02-07 06:59:16,907] DEBUG      Found Match: HELL_BTN (100.0% confidence)
[2022-02-07 06:59:19,519] DEBUG      Waiting for templates: ['A5_TOWN_0', 'A5_TOWN_1', 'A4_TOWN_4', 'A4_TOWN_5', 'A3_TOWN_0', 'A3_TOWN_1', 'A2_TOWN_0', 'A2_TOWN_1', 'A2_TOWN_10', 'A1_TOWN_1', 'A1_TOWN_3']
[2022-02-07 06:59:27,230] DEBUG      Found Match: A3_TOWN_1 (80.6% confidence)
[2022-02-07 06:59:27,231] INFO       Capabilities: CharacterCapabilities(can_teleport_natively=False, can_teleport_with_charges=False)
[2022-02-07 06:59:27,332] INFO       Health Manager is now pausing
[2022-02-07 06:59:27,978] DEBUG      Will pickup: {'rejuv': 0, 'health': 1, 'mana': 0}
[2022-02-07 06:59:29,645] INFO       Stashing items
[2022-02-07 06:59:29,645] DEBUG      Traverse from a3_town_start to a3_stash_wp
[2022-02-07 06:59:37,109] DEBUG      Select A3_STASH (74.6% confidence)
[2022-02-07 06:59:39,083] DEBUG      Searching for inventory gold btn...
[2022-02-07 06:59:39,334] DEBUG      Waiting for templates: ['INVENTORY_GOLD_BTN']
[2022-02-07 06:59:39,357] DEBUG      Found Match: INVENTORY_GOLD_BTN (100.0% confidence)
[2022-02-07 06:59:39,357] DEBUG      Found inventory gold btn
[2022-02-07 06:59:39,371] DEBUG      Stashing gold
[2022-02-07 06:59:49,797] DEBUG      Check if stash is full
[2022-02-07 06:59:50,548] DEBUG      Done stashing
[2022-02-07 06:59:50,997] INFO       Running transmutes
[2022-02-07 06:59:50,998] DEBUG      Waiting for templates: ['INVENTORY_GOLD_BTN']
[2022-02-07 06:59:51,017] DEBUG      Found Match: INVENTORY_GOLD_BTN (100.0% confidence)
[2022-02-07 06:59:51,018] INFO       Skipping transmutes. Force: False, Game#: 5
[2022-02-07 06:59:52,067] INFO       Run Trav
[2022-02-07 06:59:52,068] DEBUG      Traverse from a3_stash_wp to a3_stash_wp
[2022-02-07 06:59:52,946] DEBUG      Select A3_WP (90.4% confidence)
[2022-02-07 06:59:58,688] DEBUG      Waiting for templates: ['TRAV_0', 'TRAV_1', 'TRAV_20']
[2022-02-07 06:59:58,746] INFO       Health Manager is now active
[2022-02-07 06:59:58,774] DEBUG      Found Match: TRAV_0 (99.9% confidence)
[2022-02-07 07:00:01,516] DEBUG      Traverse from a3_trav_start to a3_trav_center_stairs
[2022-02-07 07:00:09,913] DEBUG      Traverse: [228, 229]
[2022-02-07 07:00:17,188] DEBUG      Drink health potion in slot 1. HP: 79.1%, Mana: 75.2%
[2022-02-07 07:00:20,775] DEBUG      Drink health potion in slot 1. HP: 77.7%, Mana: 57.4%
[2022-02-07 07:00:21,960] DEBUG      Drink mana potion in slot 3. HP: 79.5%, Mana: 48.5%
[2022-02-07 07:00:24,378] DEBUG      Drink health potion in slot 1. HP: 79.9%, Mana: 80.6%
[2022-02-07 07:00:33,093] DEBUG      Took a screenshot of current loot
[2022-02-07 07:00:35,723] DEBUG      Traverse: [230]
[2022-02-07 07:00:37,054] DEBUG      Waiting for templates: ['SAVE_AND_EXIT_NO_HIGHLIGHT', 'SAVE_AND_EXIT_HIGHLIGHT']
[2022-02-07 07:00:37,075] DEBUG      Found Match: SAVE_AND_EXIT_NO_HIGHLIGHT (100.0% confidence)
[2022-02-07 07:00:39,845] DEBUG      Waiting for templates: ['SAVE_AND_EXIT_NO_HIGHLIGHT', 'SAVE_AND_EXIT_HIGHLIGHT']
[2022-02-07 07:00:41,450] INFO       End game. Elapsed time: 86.11s
[2022-02-07 07:00:41,749] INFO       Starting game #6
[2022-02-07 07:00:41,750] DEBUG      Waiting for templates: ['MAIN_MENU_TOP_LEFT', 'MAIN_MENU_TOP_LEFT_DARK', 'A5_TOWN_0', 'A5_TOWN_1', 'A4_TOWN_4', 'A4_TOWN_5', 'A3_TOWN_0', 'A3_TOWN_1', 'A2_TOWN_0', 'A2_TOWN_1', 'A2_TOWN_10', 'A1_TOWN_1', 'A1_TOWN_3']
[2022-02-07 07:00:42,750] DEBUG      Found Match: MAIN_MENU_TOP_LEFT (100.0% confidence)
[2022-02-07 07:00:42,750] DEBUG      Waiting for templates: ['MAIN_MENU_TOP_LEFT', 'MAIN_MENU_TOP_LEFT_DARK']
[2022-02-07 07:00:42,762] DEBUG      Found Match: MAIN_MENU_TOP_LEFT (100.0% confidence)
[2022-02-07 07:00:42,763] DEBUG      Wait for Play button
[2022-02-07 07:00:42,780] DEBUG      Found Play Btn
[2022-02-07 07:00:43,303] DEBUG      Waiting for templates: ['LOADING', 'HELL_BTN']
[2022-02-07 07:00:43,370] DEBUG      Found Match: HELL_BTN (100.0% confidence)
[2022-02-07 07:00:45,965] DEBUG      Waiting for templates: ['A5_TOWN_0', 'A5_TOWN_1', 'A4_TOWN_4', 'A4_TOWN_5', 'A3_TOWN_0', 'A3_TOWN_1', 'A2_TOWN_0', 'A2_TOWN_1', 'A2_TOWN_10', 'A1_TOWN_1', 'A1_TOWN_3']
[2022-02-07 07:00:53,612] DEBUG      Found Match: A3_TOWN_1 (79.9% confidence)
[2022-02-07 07:00:53,613] INFO       Capabilities: CharacterCapabilities(can_teleport_natively=False, can_teleport_with_charges=False)
[2022-02-07 07:00:54,025] INFO       Health Manager is now pausing
[2022-02-07 07:00:54,365] DEBUG      Will pickup: {'rejuv': 0, 'health': 4, 'mana': 0}
[2022-02-07 07:00:54,389] INFO       Buy pots at next possible Vendor
[2022-02-07 07:00:54,390] DEBUG      Traverse from a3_town_start to a3_ormus
[2022-02-07 07:01:02,072] DEBUG      Waiting for templates: ['SUPER_HEALING_POTION']
[2022-02-07 07:01:02,107] DEBUG      Found Match: SUPER_HEALING_POTION (99.4% confidence)
[2022-02-07 07:01:06,455] DEBUG      Waiting for templates: ['SUPER_MANA_POTION']
[2022-02-07 07:01:06,477] DEBUG      Found Match: SUPER_MANA_POTION (99.4% confidence)
[2022-02-07 07:01:08,297] DEBUG      Will pickup: {'rejuv': 0, 'health': 0, 'mana': 0}
[2022-02-07 07:01:08,336] INFO       Run Trav
[2022-02-07 07:01:08,337] DEBUG      Traverse from a3_ormus to a3_stash_wp
[2022-02-07 07:01:12,101] DEBUG      Select A3_WP (91.6% confidence)
[2022-02-07 07:01:16,925] DEBUG      Waiting for templates: ['TRAV_0', 'TRAV_1', 'TRAV_20']
[2022-02-07 07:01:17,010] DEBUG      Found Match: TRAV_0 (99.9% confidence)
[2022-02-07 07:01:17,338] INFO       Health Manager is now active
[2022-02-07 07:01:19,808] DEBUG      Traverse from a3_trav_start to a3_trav_center_stairs
[2022-02-07 07:01:28,428] DEBUG      Traverse: [228, 229]
[2022-02-07 07:01:38,478] DEBUG      Drink health potion in slot 1. HP: 78.2%, Mana: 63.4%
[2022-02-07 07:01:41,716] DEBUG      Drink mana potion in slot 3. HP: 79.9%, Mana: 48.7%
[2022-02-07 07:01:51,666] DEBUG      Took a screenshot of current loot
[2022-02-07 07:01:54,209] DEBUG      Traverse: [230]
[2022-02-07 07:01:55,186] DEBUG      Waiting for templates: ['SAVE_AND_EXIT_NO_HIGHLIGHT', 'SAVE_AND_EXIT_HIGHLIGHT']
[2022-02-07 07:01:55,212] DEBUG      Found Match: SAVE_AND_EXIT_NO_HIGHLIGHT (93.1% confidence)
[2022-02-07 07:01:57,867] DEBUG      Waiting for templates: ['SAVE_AND_EXIT_NO_HIGHLIGHT', 'SAVE_AND_EXIT_HIGHLIGHT']
[2022-02-07 07:01:59,472] INFO       End game. Elapsed time: 77.72s
[2022-02-07 07:01:59,683] INFO       Starting game #7
[2022-02-07 07:01:59,683] DEBUG      Waiting for templates: ['MAIN_MENU_TOP_LEFT', 'MAIN_MENU_TOP_LEFT_DARK', 'A5_TOWN_0', 'A5_TOWN_1', 'A4_TOWN_4', 'A4_TOWN_5', 'A3_TOWN_0', 'A3_TOWN_1', 'A2_TOWN_0', 'A2_TOWN_1', 'A2_TOWN_10', 'A1_TOWN_1', 'A1_TOWN_3']
[2022-02-07 07:02:00,676] DEBUG      Found Match: MAIN_MENU_TOP_LEFT (100.0% confidence)
[2022-02-07 07:02:00,676] DEBUG      Waiting for templates: ['MAIN_MENU_TOP_LEFT', 'MAIN_MENU_TOP_LEFT_DARK']
[2022-02-07 07:02:00,700] DEBUG      Found Match: MAIN_MENU_TOP_LEFT (100.0% confidence)
[2022-02-07 07:02:00,701] DEBUG      Wait for Play button
[2022-02-07 07:02:00,716] DEBUG      Found Play Btn
[2022-02-07 07:02:01,208] DEBUG      Waiting for templates: ['LOADING', 'HELL_BTN']
[2022-02-07 07:02:01,274] DEBUG      Found Match: HELL_BTN (100.0% confidence)
[2022-02-07 07:02:03,767] DEBUG      Waiting for templates: ['A5_TOWN_0', 'A5_TOWN_1', 'A4_TOWN_4', 'A4_TOWN_5', 'A3_TOWN_0', 'A3_TOWN_1', 'A2_TOWN_0', 'A2_TOWN_1', 'A2_TOWN_10', 'A1_TOWN_1', 'A1_TOWN_3']
[2022-02-07 07:02:09,763] DEBUG      Found Match: A3_TOWN_1 (79.8% confidence)
[2022-02-07 07:02:09,764] INFO       Capabilities: CharacterCapabilities(can_teleport_natively=False, can_teleport_with_charges=False)
[2022-02-07 07:02:10,045] INFO       Health Manager is now pausing
[2022-02-07 07:02:10,512] DEBUG      Will pickup: {'rejuv': 0, 'health': 1, 'mana': 0}
[2022-02-07 07:02:10,576] INFO       Run Trav
[2022-02-07 07:02:10,576] DEBUG      Traverse from a3_town_start to a3_stash_wp
[2022-02-07 07:02:18,077] DEBUG      Select A3_WP (92.5% confidence)
[2022-02-07 07:02:23,022] DEBUG      Waiting for templates: ['TRAV_0', 'TRAV_1', 'TRAV_20']
[2022-02-07 07:02:23,116] DEBUG      Found Match: TRAV_0 (99.9% confidence)
[2022-02-07 07:02:23,218] INFO       Health Manager is now active
[2022-02-07 07:02:25,932] DEBUG      Traverse from a3_trav_start to a3_trav_center_stairs
[2022-02-07 07:02:34,221] DEBUG      Traverse: [228, 229]
[2022-02-07 07:02:44,755] DEBUG      Drink health potion in slot 1. HP: 76.8%, Mana: 68.3%
[2022-02-07 07:02:48,825] DEBUG      Drink mana potion in slot 3. HP: 82.9%, Mana: 47.5%
[2022-02-07 07:02:50,377] DEBUG      Drink health potion in slot 1. HP: 78.9%, Mana: 73.0%
[2022-02-07 07:02:52,863] DEBUG      Drink mana potion in slot 3. HP: 63.5%, Mana: 5.8%
[2022-02-07 07:02:53,913] DEBUG      Drink health potion in slot 1. HP: 61.2%, Mana: 43.0%
[2022-02-07 07:02:57,517] DEBUG      Drink health potion in slot 2. HP: 62.1%, Mana: 64.1%
[2022-02-07 07:02:59,342] DEBUG      Took a screenshot of current loot
[2022-02-07 07:03:01,785] DEBUG      Traverse: [230]
[2022-02-07 07:03:03,867] DEBUG      Waiting for templates: ['SAVE_AND_EXIT_NO_HIGHLIGHT', 'SAVE_AND_EXIT_HIGHLIGHT']
[2022-02-07 07:03:03,893] DEBUG      Found Match: SAVE_AND_EXIT_NO_HIGHLIGHT (100.0% confidence)
[2022-02-07 07:03:06,275] DEBUG      Waiting for templates: ['SAVE_AND_EXIT_NO_HIGHLIGHT', 'SAVE_AND_EXIT_HIGHLIGHT']
[2022-02-07 07:03:09,783] INFO       End game. Elapsed time: 70.10s
[2022-02-07 07:03:10,288] INFO       Starting game #8
